waiver,"['waiver', '0.17286', '0.97033', '-1.0159', '-0.70286', '0.32347', '-1.6253', '-0.86463', '-1.5328', '0.74105', '-0.32136', '0.76029', '0.27944', '-1.2884', '0.62396', '0.91891', '0.027512', '0.74201', '-0.054336', '0.85124', '-0.085649', '-0.76375', '0.40258', '0.52212', '0.29994', '-1.031\n']"
environmental,"['environmental', '0.18448', '0.60791', '-1.8728', '-0.046669', '1.089', '-0.64303', '0.7363', '-1.5018', '1.8349', '0.097169', '0.07528', '-0.17648', '-2.3739', '0.76366', '1.3346', '-0.51977', '-0.23158', '1.0252', '0.81171', '0.2525', '-0.48284', '-0.069646', '-0.98751', '-0.81865', '-0.39436\n']"
rule,"['rule', '0.60776', '0.54137', '-0.85807', '-0.22251', '-0.098021', '-0.92903', '0.93062', '-0.76513', '0.20274', '-0.0073122', '0.19386', '0.10489', '-3.4113', '0.3194', '0.13449', '0.51114', '-0.3475', '-0.30824', '0.81995', '-0.14685', '-0.065717', '0.60747', '0.28685', '-0.40648', '-0.3013\n']"
indefinite,"['indefinite', '0.3262', '1.6245', '-1.3222', '0.71332', '-0.27834', '-1.2716', '-0.11617', '-2.1926', '0.86394', '-0.21777', '0.087411', '0.25398', '-0.36847', '0.57947', '0.7961', '-0.59781', '0.11707', '0.5729', '-0.16307', '-1.7791', '-1.1208', '1.1552', '0.17248', '-0.62741', '-0.44779\n']"
future,"['future', '-0.14201', '0.54216', '-0.45066', '0.33872', '0.20832', '-0.19988', '1.2787', '-0.059001', '0.4857', '-0.788', '-0.62011', '0.6187', '-4.3418', '0.63416', '0.025279', '0.19293', '-0.013116', '-0.1919', '0.35387', '0.15053', '0.063795', '-0.28317', '-0.62088', '-0.53567', '-0.7172\n']"
china,"['china', '0.02694', '-0.39687', '-0.11095', '-0.79269', '-0.22621', '-0.10638', '-0.044349', '0.74915', '0.80349', '0.45697', '1.1413', '-1.0885', '-3.1495', '0.37967', '0.36205', '-0.57683', '-0.02728', '0.53502', '0.78061', '-0.33541', '-0.2102', '-0.42649', '-0.45602', '-1.1322', '-0.022326\n']"
serious,"['serious', '0.39127', '0.67818', '-0.35924', '-0.19231', '0.6029', '1.1135', '1.4048', '-0.0033025', '0.16638', '0.5237', '-0.87116', '0.90984', '-3.4945', '-0.20573', '0.9821', '0.63832', '0.57208', '-0.6294', '-0.42466', '-0.76455', '0.68349', '0.5344', '-0.16008', '0.078071', '-0.82467\n']"
question,"['question', '1.1137', '0.21869', '-1.055', '0.62141', '0.47224', '-0.2966', '1.5678', '-0.6598', '0.20278', '-0.15293', '-0.13443', '0.39467', '-3.5114', '0.05432', '0.64362', '0.90003', '0.15945', '-0.33852', '-1.5233', '0.11192', '1.1011', '-0.28328', '-0.3159', '0.10382', '-1.064\n']"
answer,"['answer', '0.67189', '0.74052', '-0.31811', '0.39108', '0.060276', '-1.1682', '1.4205', '-0.39394', '-0.27292', '-0.017262', '-0.64216', '0.67294', '-3.9727', '-0.23036', '0.06837', '0.41806', '0.45092', '-0.37494', '-0.28657', '-0.75726', '0.82955', '-0.23753', '0.30899', '0.78933', '-1.1385\n']"
dust,"['dust', '-0.75582', '-0.10369', '0.31236', '1.1546', '-0.2538', '0.41302', '0.46085', '-1.1545', '0.4712', '0.40715', '0.45409', '0.69758', '-2.5835', '0.025213', '-0.43439', '0.032028', '0.47879', '0.2829', '1.0271', '0.32782', '-0.92624', '0.30417', '1.2052', '0.20319', '0.40243\n']"
settle,"['settle', '0.063699', '0.80667', '-0.73306', '0.25431', '-0.59979', '1.0305', '0.15792', '-0.66857', '1.1059', '0.39744', '-0.64413', '0.25286', '-3.0629', '0.10762', '0.29452', '0.85083', '0.56705', '-1.2842', '0.1201', '-1.2997', '0.1895', '0.28229', '-0.34078', '0.21377', '-1.0448\n']"
coronavirus,"['coronavirus', '0.23221', '0.19274', '-0.20191', '0.55183', '0.22028', '-1.733', '-0.5179', '-0.48583', '0.99621', '-0.61992', '1.3618', '0.51214', '-0.27673', '-0.26378', '0.9227', '1.0396', '0.44228', '0.83579', '1.3481', '0.55633', '-0.64568', '0.25664', '-0.19045', '-1.9823', '-0.043051\n']"
cdnpoli,"['cdnpoli', '0.45042', '0.34177', '-2.2732', '-1.7765', '-0.77688', '-1.94', '-0.44338', '-1.5069', '-0.54657', '-0.33512', '-1.694', '0.36471', '-1.3474', '-0.41131', '0.61002', '-1.8457', '-0.53374', '0.74956', '0.71348', '0.49125', '1.1258', '-1.0396', '0.3545', '-1.0333', '0.11016\n']"
onpoli,"['onpoli', '-0.068981', '0.3243', '-2.0199', '-1.9044', '-0.8276', '-1.3848', '-0.65818', '-1.7385', '-0.64748', '-0.68973', '-1.4929', '0.2886', '-0.17819', '-0.48992', '0.81303', '-1.5221', '-0.30747', '0.26256', '0.83017', '0.41225', '1.1753', '-0.79282', '0.42883', '-1.3323', '-0.06987\n']"
cap,"['cap', '-0.066113', '-0.0030483', '0.12036', '-0.12848', '0.55682', '-0.08942', '-0.55055', '0.62198', '0.67415', '-0.5418', '0.73211', '-0.33785', '-2.5057', '0.41017', '-0.10057', '0.20058', '0.26056', '-0.20583', '-1.1819', '0.31613', '-0.92076', '0.44614', '0.79878', '0.041837', '-0.53434\n']"
month,"['month', '-0.33309', '1.3413', '0.28396', '-0.7477', '0.55314', '-0.57133', '1.2026', '-0.13058', '-0.12514', '0.27723', '0.0053992', '0.39273', '-3.6606', '1.5906', '-0.075937', '-0.34245', '0.71415', '-0.66325', '-0.4484', '-0.39419', '-0.99257', '-0.076361', '-0.22238', '0.96051', '-0.12478\n']"
rome,"['rome', '-0.87035', '-0.055731', '0.025942', '-0.45076', '-1.4706', '-0.56851', '0.15265', '-0.38893', '0.15326', '-0.33144', '0.38973', '0.24382', '-2.3757', '0.45048', '0.54276', '0.11613', '-0.0023753', '0.60124', '-0.39132', '0.34035', '-0.32324', '-0.12717', '-0.56758', '-1.1952', '0.77215\n']"
see,"['see', '-0.16774', '0.73463', '0.091207', '-0.063218', '-0.98713', '-0.27591', '1.6769', '0.35415', '-0.52735', '-0.30275', '-0.67967', '0.27521', '-5.1428', '-0.1506', '0.078035', '0.14333', '0.38539', '-0.9417', '-0.27669', '-0.178', '0.18028', '-0.12565', '0.40025', '0.44704', '-0.31932\n']"
voice,"['voice', '0.025894', '-0.72444', '0.40621', '0.53279', '0.43552', '-0.40332', '1.5585', '0.3382', '-0.00059928', '-1.0526', '-0.35183', '0.87226', '-3.5561', '-0.64118', '0.0049729', '0.65363', '-0.77586', '-0.0494', '-1.017', '0.26048', '0.38286', '0.58794', '0.3196', '-0.23243', '0.031295\n']"
reason,"['reason', '0.43525', '0.41565', '-0.0049016', '0.33494', '-0.093569', '0.0231', '1.8699', '-0.57324', '-0.61937', '0.11542', '-0.90317', '0.59846', '-4.3689', '0.15006', '0.03712', '0.52517', '0.052408', '-0.22282', '0.57383', '-0.55142', '0.65294', '0.43788', '0.37033', '0.12756', '-0.73918\n']"
chaotic,"['chaotic', '-0.63782', '-0.59363', '-0.44789', '0.11348', '0.35344', '0.91383', '0.82008', '-1.7867', '0.28033', '-0.8273', '-1.4768', '0.75387', '-1.0735', '1.022', '0.63586', '0.37547', '0.43763', '0.78028', '0.858', '-0.394', '-0.28079', '0.25052', '-0.39668', '-0.62011', '-0.45236\n']"
fear,"['fear', '0.34901', '0.30926', '-0.80943', '1.495', '-0.66837', '0.40203', '1.7135', '-0.63232', '0.13892', '0.22926', '-0.32921', '0.75148', '-3.5653', '0.7832', '-0.090396', '0.6436', '-0.4382', '0.82941', '1.3351', '-1.0171', '0.0089844', '0.70354', '0.026537', '-0.50671', '-0.3056\n']"
fill,"['fill', '-0.38047', '0.67445', '-0.18578', '0.76929', '-0.058405', '-0.10328', '0.36816', '-1.324', '0.20991', '0.14067', '-0.017481', '-0.38266', '-3.3843', '0.25217', '-0.20671', '0.22942', '0.62894', '-0.2618', '0.065752', '-0.58616', '-0.79896', '-0.20546', '0.77413', '0.43661', '-0.32438\n']"
time,"['time', '0.099185', '0.28333', '0.62799', '-0.46388', '-0.094643', '0.39536', '1.8956', '0.15325', '0.39469', '-0.03058', '-0.98644', '-0.24421', '-4.6944', '0.34421', '0.46324', '0.042716', '-0.050703', '-0.99004', '-0.57449', '-0.90413', '-0.57818', '0.14189', '0.17403', '0.44834', '-0.021622\n']"
coronavirus,"['coronavirus', '0.23221', '0.19274', '-0.20191', '0.55183', '0.22028', '-1.733', '-0.5179', '-0.48583', '0.99621', '-0.61992', '1.3618', '0.51214', '-0.27673', '-0.26378', '0.9227', '1.0396', '0.44228', '0.83579', '1.3481', '0.55633', '-0.64568', '0.25664', '-0.19045', '-1.9823', '-0.043051\n']"
impacting,"['impacting', '-0.17721', '0.23653', '-0.89054', '0.0086956', '-0.13442', '0.13345', '-0.017712', '-2.057', '0.31821', '-0.57506', '-1.253', '0.78376', '-1.4465', '0.25973', '0.60274', '0.37305', '-0.56403', '0.77592', '2.2843', '0.079488', '-0.30905', '-1.0737', '-0.81716', '-0.72121', '-1.0619\n']"
awareness,"['awareness', '-1.2971', '0.85265', '-2.3364', '0.59536', '1.4854', '-1.2542', '0.92568', '-1.2279', '-0.19402', '0.59556', '0.69655', '0.26489', '-2.4939', '0.81745', '0.11335', '0.31361', '-0.46056', '0.060115', '0.63946', '-0.30333', '-1.2284', '0.20333', '-0.46845', '-0.35924', '0.2384\n']"
drug,"['drug', '0.28978', '1.3323', '-0.67482', '0.46996', '1.3972', '-0.75157', '0.63263', '-1.3423', '0.69094', '0.67559', '0.80144', '-0.22046', '-3.2244', '-0.2003', '0.69808', '0.14591', '0.93824', '0.5433', '1.0799', '-0.45467', '0.48967', '0.73018', '-0.30742', '-0.95858', '0.99144\n']"
vaccine,"['vaccine', '0.67782', '1.2509', '-0.90983', '0.105', '0.89476', '-0.82923', '0.47106', '-1.8213', '1.0981', '0.34706', '1.0482', '0.038598', '-0.82208', '0.40072', '0.92239', '-0.38392', '0.085197', '0.8774', '1.9221', '-0.70011', '-0.84704', '1.5076', '0.03067', '-0.36694', '0.44043\n']"
flu,"['flu', '0.44828', '0.41882', '0.08516', '0.050611', '0.46752', '1.0164', '0.73463', '0.33138', '1.3482', '0.90443', '0.31049', '0.13395', '-1.7748', '0.36734', '0.9715', '-0.8991', '-0.47472', '-0.095979', '0.97332', '-1.575', '-0.60244', '1.7201', '0.75303', '0.10021', '0.38903\n']"
survey,"['survey', '1.0214', '0.92958', '-0.59042', '-0.66807', '0.71633', '-0.51971', '0.78536', '-0.7369', '1.3531', '0.29525', '0.65453', '0.086192', '-2.2774', '0.79091', '0.42883', '-0.11168', '0.23175', '-0.19456', '-0.22464', '-0.55188', '-0.49964', '-0.97801', '-1.361', '-0.013693', '-1.2854\n']"
result,"['result', '0.95902', '0.13819', '-0.37736', '-0.83624', '-0.2529', '0.93377', '0.77561', '-0.13386', '0.65711', '0.09043', '-0.871', '0.66188', '-2.5775', '1.4821', '1.6625', '0.043619', '0.5031', '-0.89138', '-0.61256', '-1.0916', '-0.65414', '0.078313', '-0.92357', '0.25931', '-1.8983\n']"
outbreak,"['outbreak', '0.19238', '0.36443', '-0.43341', '0.049604', '-0.23194', '-1.2596', '0.97727', '-1.8268', '0.46706', '0.94432', '1.0474', '0.052352', '-0.68166', '0.85802', '1.6544', '0.055953', '0.044618', '1.6027', '1.1667', '-0.30293', '-0.7753', '1.0031', '0.71177', '-0.85003', '0.83322\n']"
need,"['need', '-0.067028', '1.1607', '-0.56576', '-0.37301', '-0.27327', '0.020362', '1.6982', '-0.4199', '0.036671', '-0.00076372', '-0.32986', '0.12987', '-5.2446', '-0.86315', '-0.33986', '-0.01293', '0.26155', '-1.1324', '0.14393', '-0.56291', '-0.068373', '0.12401', '0.28798', '0.59612', '-0.25599\n']"
extra,"['extra', '0.016064', '0.45973', '-0.093468', '-0.054922', '0.84207', '1.3798', '-0.19117', '-0.39944', '-0.4083', '-0.21228', '0.23811', '-0.66771', '-3.6444', '-0.30478', '-0.1541', '-0.1255', '0.88827', '-0.081911', '-0.068164', '-0.2069', '-0.91286', '-0.081212', '0.19763', '0.62361', '0.046353\n']"
help,"['help', '-0.12434', '1.018', '-1.4977', '0.072667', '-0.23608', '-0.86819', '1.2472', '-0.19837', '-0.17941', '0.38505', '0.014512', '0.073408', '-4.4734', '-0.53896', '-0.25648', '0.009369', '0.037017', '-0.72818', '0.12968', '-1.1874', '-0.33698', '-0.60578', '-0.60764', '0.39163', '-0.061266\n']"
manage,"['manage', '0.46829', '1.2724', '-1.1996', '-0.16379', '-0.18639', '0.32752', '0.34142', '-1.1248', '0.68461', '-0.26398', '-0.37634', '0.32007', '-3.3874', '-0.2697', '0.096131', '0.65908', '0.42416', '-0.7911', '0.8843', '-1.5844', '-0.25074', '-0.36885', '-0.30302', '0.21512', '-0.91921\n']"
alcohol,"['alcohol', '0.42611', '0.29293', '-0.38085', '1.2675', '0.85491', '1.2881', '0.43514', '-0.68569', '-0.57152', '0.67542', '0.86435', '-1.9571', '-3.2627', '-0.032704', '0.8325', '0.38405', '0.78145', '0.52618', '1.263', '-0.46579', '0.058284', '0.0051324', '0.001359', '0.54815', '1.1439\n']"
consumption,"['consumption', '-0.0043629', '0.2218', '-1.0572', '0.93796', '0.97615', '0.41237', '0.39324', '-2.7243', '0.63681', '0.59543', '1.4014', '-0.47289', '-1.8782', '0.77812', '0.94814', '-0.2181', '0.22572', '0.9079', '1.071', '-0.39435', '-0.5616', '-0.5196', '-0.074611', '0.22686', '0.12747\n']"
track,"['track', '0.042984', '0.88204', '0.267', '-0.63249', '0.76634', '0.15671', '0.81545', '0.074775', '0.3738', '-0.69143', '-0.20714', '1.0119', '-3.7433', '0.066671', '0.29328', '0.76843', '0.094764', '-0.29037', '-0.051424', '0.41253', '-0.9114', '-0.26743', '0.7729', '-0.53608', '0.33772\n']"
drinking,"['drinking', '-1.2939', '0.87893', '0.34774', '0.72059', '-0.18509', '1.3314', '1.0458', '-1.7577', '-0.35876', '0.31538', '0.36317', '-0.17305', '-3.7473', '-0.48195', '1.0087', '0.23899', '0.51265', '-0.2507', '0.13989', '-0.053622', '-0.47224', '0.22381', '-0.45246', '0.25475', '1.0712\n']"
set,"['set', '-0.26993', '0.0004087', '0.43093', '-0.40641', '0.31897', '0.31994', '0.5191', '0.20365', '0.95419', '-0.2496', '1.0946', '0.26529', '-4.03', '0.48884', '-0.1086', '0.068833', '0.20536', '-0.4433', '-0.46204', '-0.32148', '-1.3276', '-0.019856', '0.30213', '0.32435', '-0.15966\n']"
goal,"['goal', '0.025349', '0.22664', '-0.77084', '-0.80769', '-0.67173', '0.54573', '0.18855', '0.50245', '-0.73086', '-0.80387', '0.94799', '1.3857', '-3.2044', '1.2701', '0.87901', '-0.16179', '-0.41428', '-0.54666', '-0.87822', '-0.42716', '-1.3625', '1.0778', '0.37345', '-0.12577', '-1.2675\n']"
