status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang;;;;
"1243689259514630153,868170066,2020-03-28T00:00:00Z,actuaporlasalud,""“Hay una alta vulnerabilidad de la población mexicana frente a la pandemia #COVID19 porque ya teníamos una emergencia epidemiológica de obesidad y diabetes, cuya principal causa es el cambio en la dieta de los mexicanos”: @LaCronicaDeHoy";;;;
"https://t.co/U0N7mUxusJ https://t.co/iV3Wu2slAH"",TweetDeck,,,,FALSE,FALSE,7025,1,,,,12140,1885,,2012-10-08T15:27:26Z,FALSE,es";;;;
1243689259459997696,1097586777907449856,2020-03-28T00:00:00Z,MiTrenPuebla,El uso de gel antibacterial forma parte de las medidas de prevención ante el contagio de #COVID19. #ViajaSeguroSobreRieles https://t.co/i6xohwGCuo,TweetDeck,,,,FALSE,FALSE,359,0,,,,901,259,,2019-02-18T20:00:54Z,FALSE,es;;;;
1243689259447566337,58652817,2020-03-28T00:00:00Z,INMOBILIARE,FibraHotel destacó que cuenta con una estructura financiera sólida que los ayudará a hacer frente al posible impacto económico provocado por el #Covid19 en el corto plazo.,Twitter for Advertisers,,,,FALSE,FALSE,1613,1,,,,9207,794,,2009-07-21T01:04:42Z,FALSE,es;;;;
1243689259405434881,933528001513476102,2020-03-28T00:00:00Z,espacifico,#Actualización | ¿Qué hacer en #Colima si sospecho que tengo #COVID19 durante la Fase 2? ➡️ https://t.co/3mOVjm40uO https://t.co/J5TasRJPPP,TweetDeck,,,,FALSE,FALSE,117,1,,,,867,445,,2017-11-23T02:49:54Z,FALSE,es;;;;
1243689259380293633,202652212,2020-03-28T00:00:00Z,empleogob_mx,Enfermeros del Bienestar: Convocatoria especial para la atención del #COVID19. Inscríbete en https://t.co/0z0u2czYCz  @INSABI_mx ¡Ya estamos contratando! https://t.co/sQfDzcHlv5,TweetDeck,,,,FALSE,FALSE,1087,3,,,,77367,82,,2010-10-14T14:39:35Z,TRUE,es;;;;
"1243689259300765697,18795726,2020-03-28T00:00:00Z,clcv,""Looking for something to do this weekend? Because of #COVID19, the Washington DC Environmental Film Festival has films streaming online for FREE through the end of March!  ";;;;
;;;;
"Check it out: https://t.co/MEUrGJdx3M"",TweetDeck,,,,FALSE,FALSE,5002,0,,,,5752,3734,,2009-01-09T07:51:24Z,FALSE,en";;;;
1243689259300683784,2233173684,2020-03-28T00:00:00Z,universomascota,¡Recomendaciones para tu mascota durante esta cuarentena! Sigue leyendo este tweet para saber las recomendacioens que puedes aplicar en tu hogar con mascotas. #QuedateEnCasa #Covid19 #Padresdemascotas https://t.co/08sPRs02zz,TweetDeck,,,,FALSE,FALSE,367,0,,,,1531,542,,2013-12-06T15:47:04Z,FALSE,es;;;;
"1243689259288027137,138590891,2020-03-28T00:00:00Z,aztecasonora,""LISTA LA FRONTERA EN TEMAS SANITARIOS ";;;;
;;;;
El Comité de Salud de #Nogales tomó protesta para realizar las medidas pertinentes para combatir el #Covid19 en las personas que lleguen de los #EstadosUnidos.;;;;
;;;;
"#Coronavirus #QuédateEnCasa https://t.co/OnKevUg0nk"",TweetDeck,,,,FALSE,FALSE,266,1,,,,23253,587,,2010-04-30T00:19:02Z,FALSE,es";;;;
"1243689259284008961,93206083,2020-03-28T00:00:00Z,SMM_sportradio,""อดีตดาวเตะ ยูเวนตุส สนับสนุนให้​ลีกอิตาลี ประกาศยกเลิกฤดูกาล​นี้​";;;;
;;;;
#SMMSPORT #ยูเวนตุส #Juventus #เซเรีย​อา #Seri A #โควิด19 #COVID19;;;;
;;;;
"https://t.co/4QjJLBOtuL"",TweetDeck,,,,FALSE,FALSE,107,0,,,,42142,352,,2009-11-28T15:44:53Z,FALSE,th";;;;
"1243689259137208324,117472459,2020-03-28T00:00:00Z,UnicableOficial,"".@gretelvaldez compartió una serie de videos en donde recuerda a su hijo ya que, Santino fue puesto en cuarentena junto a su padre. #UNews #TodosSomosUnicable #BuenViernes #COVID19";;;;
"https://t.co/WbaxgIyK9J"",TweetDeck,,,,FALSE,FALSE,31681,1,,,,307528,432,,2010-02-25T17:30:47Z,TRUE,es";;;;
"1243689259049115651,21104432,2020-03-28T00:00:00Z,VOANoticias,""El cambio en los servicios de entrega a domicilio ha sido vertiginoso y la emergencia sanitaria por #COVID19 ha saturado el mercado de pedidos y ha abierto una ventana de empleos para muchos. 👇";;;;
"https://t.co/8J5lCDxvQ1"",TweetDeck,,,,FALSE,FALSE,588,4,,,,230814,1012,,2009-02-17T16:45:41Z,TRUE,es";;;;
"1243689258994425857,868112707,2020-03-28T00:00:00Z,AFPphoto,""#Coronavirus #COVID19 #SouthKorea ";;;;
Coronavirus test kits pour off South Korean production line ;;;;
https://t.co/3ym7PUW176;;;;
"📷 @edwardesjones #AFP https://t.co/ugJbwK5cst"",TweetDeck,,,,FALSE,FALSE,230,19,,,,133565,340,,2012-10-08T14:43:38Z,TRUE,en";;;;
"1243689258981806085,188019652,2020-03-28T00:00:00Z,CORPOELECinfo,""@CORPOELECinfo te informa como prevenir el #Covid19 || Mantenga una distancia mínima de un metro, entre usted y cualquier persona que tosa o estornude. Tanto usted como las personas que la rodean deben asegurarse de mantener una buena higiene. https://t.co/KMCJONU8dY"",TweetDeck,,188019652,CORPOELECinfo,FALSE,FALSE,12676,5,,,,297842,508,,2010-09-07T18:50:30Z,FALSE,es";;;;
1243689258952675329,957562542,2020-03-28T00:00:00Z,ASMexico,Ángel Mena pide que sigamos todas las indicaciones para prevenir el #COVID19 para pronto volver a disfrutar del futbol. @clubleonfc ⚽😷👌 https://t.co/GoOpljSp24,Twitter Media Studio,,,,FALSE,FALSE,4057,0,,,,63149,375,,2012-11-19T14:49:40Z,TRUE,es;;;;
1243689258713354240,1239901273002033155,2020-03-28T00:00:00Z,uri_911,#VEN911Oficial | #27Mar La Prevención esta en tus manos #Covid19 https://t.co/cxpLr4CHgc,TweetDeck,,,,FALSE,FALSE,436,1,,,,66,74,,2020-03-17T13:09:13Z,FALSE,es;;;;
"1243689258616901632,924967109947469824,2020-03-28T00:00:00Z,TopGloryTravel,""نشدد على أهمية تجنب التجمعات التي يزيد عدد الأشخاص فيها عن (50) شخص.";;;;
